sentence
人生如果没有梦想，那和咸鱼有什么区别。
小强!小强你怎么了小强?小强，你不能死啊!我跟你相依为命，同甘共苦了这么多年，一直把你当亲生...
曾经有一份真诚的爱摆在我的面前，但是我没有珍惜，等到失去的时候才后悔莫及，尘世间最痛苦的事莫...
屎，你是一滩屎。命比蚁便宜。我开奔驰，你挖鼻屎。吃饭!?吃屎吧你!
杀人这种事，我整天都有这种想法的。
本来我要用这10元钱念书，当个医生、律师，但为了世界和平……唉!
你可以叫我跑龙套的，但是请不要在前面加个“死”字好不好?
其实，我是一个演员。
要很努力，很努力，才能做到一点点的成功。
除暴安良是我们做市民的责任，行善积德是我本身的兴趣，所以扶老太太过马路我每个星期都做一次，如...
现实的爱情和电影里的不一样，现实当中不要太遗憾，也不要太真真实实，不要化为灰烬那样子。愉快是...
我觉得电影里面一定要有情，但是我的情是比较广义的情，它不但只有爱情，还有像朋友之间的情，兄弟...
在我的每一部电影里都有情感，而且这些情感比较纯粹和单纯，是因为我觉得情感对于每个人来说都是非...
你还是回火星吧，地球是很危险的。
我对你的敬仰有如滔滔水，联绵不绝，又如黄河绝堤一发不可收拾。
在杀我之前求你答应我一件事 --说吧 --放了我。
凭你的智慧，我很难跟你解释!
一万年太久，爱我，就现在。
不记得了也好，忘却也是一种幸福。
喜欢一个人需要理由吗?需要吗?不需要吗?需要吗?
